"knapsack","kegg"
"C00000001","C00859"
"C00000002","C03175"
"C00000003","C01699"
"C00000004","C11864"
"C00000005","C11871"
"C00000006","C11856"
"C00000007","C11867"
"C00000008","C03579"
"C00000009","C11863"
"C00000010","C01533"
"C00000012","C11857"
"C00000014","C11858"
"C00000015","C14162"
"C00000019","C02034"
"C00000020","C02035"
"C00000024","C11861"
"C00000029","C06096"
"C00000034","C11868"
"C00000036","C11862"
"C00000037","C14161"
"C00000044","C12308"
"C00000051","C11865"
"C00000053","C06094"
"C00000091","C00371"
"C00000092","C11263"
"C00000093","C02029"
"C00000094","C04083"
"C00000095","C16449"
"C00000096","C16431"
"C00000100","C00954"
"C00000104","C05635"
"C00000107","C02938"
"C00000108","C02693"
"C00000109","C00637"
"C00000110","C02937"
"C00000112","C08493"
"C00000114","C00955"
"C00000116","C11284"
"C00000118","C03414"
"C00000123","C00631"
"C00000125","C05837"
"C00000126","C08424"
"C00000127","C08422"
"C00000128","C08423"
"C00000134","C06082"
"C00000135","C00809"
"C00000136","C09844"
"C00000144","C03840"
"C00000148","C02904"
"C00000150","C05607"
"C00000151","C01546"
"C00000152","C00811"
"C00000155","C09908"
"C00000156","C09840"
"C00000158","C08774"
"C00000163","C09663"
"C00000164","C09664"
"C00000170","C00423"
"C00000171","C10667"
"C00000172","C09286"
"C00000173","C09301"
"C00000175","C06547"
"C00000176","C08814"
"C00000180","C11049"
"C00000181","C15794"
"C00000185","C15793"
"C00000186","C15791"
"C00000199","C15802"
"C00000206","C00805"
"C00000207","C00180"
"C00000207","C03096"
"C00000208","C00253"
"C00000209","C00153"
"C00000210","C00408"
"C00000212","C10268"
"C00000215","C17097"
"C00000217","C10262"
"C00000218","C08491"
"C00000219","C11512"
"C00000235","C09474"
"C00000238","C09354"
"C00000239","C09302"
"C00000240","C09358"
"C00000248","C16993"
"C00000256","C08980"
"C00000257","C02920"
"C00000258","C10331"
"C00000264","C09172"
"C00000270","C09138"
"C00000275","C09173"
"C00000276","C09104"
"C00000277","C09105"
"C00000278","C09174"
"C00000297","C09305"
"C00000300","C09312"
"C00000301","C07090"
"C00000303","C08502"
"C00000304","C01892"
"C00000305","C04371"
"C00000310","C09582"
"C00000311","C09402"
"C00000312","C09403"
"C00000313","C09602"
"C00000316","C09072"
"C00000318","C06593"
"C00000320","C09781"
"C00000321","C09780"
"C00000325","C10246"
"C00000328","C08398"
"C00000333","C12105"
"C00000334","C09822"
"C00000336","C12101"
"C00000339","C12098"
"C00000345","C12103"
"C00000349","C12100"
"C00000351","C08497"
"C00000353","C16310"
"C00000356","C08492"
"C00000365","C01226"
"C00000366","C04780"
"C00000367","C16790"
"C00000379","C05346"
"C00000388","C00219"
"C00000392","C08314"
"C00000393","C14827"
"C00000394","C04717"
"C00000398","C08318"
"C00000400","C05966"
"C00000403","C14762"
"C00000405","C16300"
"C00000408","C06428"
"C00000413","C14810"
"C00000420","C14779"
"C00000422","C04822"
"C00000423","C04805"
"C00000424","C14777"
"C00000424","C14822"
"C00000425","C14780"
"C00000438","C12083"
"C00000446","C16317"
"C00000448","C16320"
"C00000486","C02657"
"C00000487","C01839"
"C00000546","C06800"
"C00000547","C07074"
"C00000548","C04033"
"C00000551","C03830"
"C00000554","C02379"
"C00000555","C10343"
"C00000563","C00961"
"C00000564","C13963"
"C00000565","C01844"
"C00000567","C16785"
"C00000568","C10315"
"C00000570","C01448"
"C00000571","C15504"
"C00000572","C00495"
"C00000575","C01557"
"C00000576","C01864"
"C00000580","C00811"
"C00000581","C00758"
"C00000582","C00841"
"C00000583","C02162"
"C00000584","C09276"
"C00000588","C10690"
"C00000591","C10651"
"C00000599","C10725"
"C00000600","C10891"
"C00000601","C10882"
"C00000602","C10646"
"C00000606","C10682"
"C00000609","C10545"
"C00000610","C10874"
"C00000612","C10886"
"C00000613","C02646"
"C00000614","C00590"
"C00000615","C01197"
"C00000615","C01481"
"C00000619","C10453"
"C00000620","C10469"
"C00000634","C10873"
"C00000640","C10561"
"C00000642","C10894"
"C00000649","C16226"
"C00000650","C16228"
"C00000651","C10516"
"C00000660","C02717"
"C00000671","C10554"
"C00000674","C01514"
"C00000677","C01617"
"C00000693","C10719"
"C00000700","C10633"
"C00000701","C10636"
"C00000705","C10547"
"C00000706","C10746"
"C00000719","C10638"
"C00000722","C10628"
"C00000725","C10658"
"C00000727","C10877"
"C00000730","C11355"
"C00000733","C00251"
"C00000734","C00885"
"C00000735","C05821"
"C00000736","C03657"
"C00000737","C04171"
"C00000740","C12110"
"C00000743","C02730"
"C00000750","C07086"
"C00000751","C00166"
"C00000752","C12053"
"C00000753","C12054"
"C00000754","C16241"
"C00000756","C00120"
"C00000757","C01909"
"C00000758","C01092"
"C00000759","C01037"
"C00000760","C04628"
"C00000761","C03576"
"C00000762","C03920"
"C00000763","C00593"
"C00000764","C05528"
"C00000768","C16594"
"C00000769","C00026"
"C00000770","C00322"
"C00000771","C16588"
"C00000772","C16593"
"C00000773","C16589"
"C00000775","C00378"
"C00000776","C03351"
"C00000778","C05557"
"C00000780","C06564"
"C00000782","C06457"
"C00000783","C06367"
"C00000789","C06454"
"C00000791","C06455"
"C00000797","C04650"
"C00000797","C05042"
"C00000798","C00074"
